section,payment_nature,payment_section,code
156/1,Withheld Income Tax (Final),Prize on Prize Bond u/s 156 (ATL @ 15% / Non-ATL @ 30%),64090051
156/2,Withheld Income Tax (Final),Winnings from Crossword Puzzle u/s 156 (ATL @ 15% / Non-ATL @ 30%),64090052
156A,Withheld Income Tax (Final),Commission / Discount on petroleum products u/s 156A (ATL @ 12% / Non-ATL @ 24%),64090151
150/3,Withheld Income Tax (Final),Dividend u/s 150 (ATL @ 7.5% / Non-ATL @ 15%),64030052
154(1)/2,Withheld Income Tax (Final),Export Proceeds u/s 154(1) @1%,64070054
154(2),Withheld Income Tax (Final),Foreign Indenting Commission u/s 154(2) (5%),64070151
235/2,Withheld Income Tax (Final),Electricity Bill of Industrial Consumer u/s 235,64140052
236N/2,Withheld Income Tax (Final),Issuance of Bonus Shares by Companies not quoted on Stock Exchange u/s 236N,64151451
37(1A),Withheld Income Tax (Final),Capital Gains on Immovable Property u/s 37(1A) @10%,64220055
148/1,Withheld Income Tax (Final),Import u/s 148 @6%,64010062
148/2,Withheld Income Tax (Final),Import u/s 148 @1%,64010052
148/3,Withheld Income Tax (Final),Import u/s 148 @2%,64010054
148/4,Withheld Income Tax (Final),Import u/s 148 @3%,64010056
7/1,Withheld Income Tax (Final),Gross Receipts of Non-Resident ship owner / chatrer u/s 143,64240051
7/2,Withheld Income Tax (Final),Gross Receipts of Non-Resident aircraft owner / charterer u/s 144,64250051
7C,Advance Income Tax,Income Tax Collected in advance from builders u/s 7C 5%,64310057
7D,Advance Income Tax,Income Tax Collected in advance from developers u/s 7D 5%,64310058
236C/2,Withheld Income Tax (Final),Turnover / Tax Chargeable u/s 113 @0.1%,923151
111A/1,Withheld Income Tax (Final),"Dividend u/s 150 @ 7.5% (Non-resident u/c (111A), Part IV of Second Schedule)",64030062
111A/2,Withheld Income Tax (Final),"Dividend u/s 150 @ 15% (Non-resident u/c (111A), Part IV of Second Schedule)",64030063
236C/3,Withheld Income Tax (Final),Capital Gains on Immovable Property u/s 37(1A) @5%,64220053
37A/1,Withheld Income Tax (Final),Capital Gains on Securities u/s 37A @12.5%,64220156
37A/2,Withheld Income Tax (Final),Capital Gains on Securities u/s 37A @10%,64220155
235B,Withheld Income Tax (Final),Steel Melters / Re-Rollers u/s 235B,64140201
37A/3,Withheld Income Tax (Final),Capital Gains on Securities u/s 37A @ corporate tax rate,64220199
152A,Withheld Income Tax (Final),Payment for foreign produced commercials to a Non-Resident u/s 152A (ATL @ 20% / Non-ATL @ 40%),64050100
236W,Withheld Income Tax (Final),Advance tax on registering or attesting transfer of immovable prop 236W,92023
150A,Withheld Income Tax (Final),Deduction of tax by special purpose vehicles u/s 150A@ 25% if Sukuk holder is a company,64030081
7C/1,Withheld Income Tax (Final),Income Tax paid by builders u/s 7C,64310059
7D/1,Withheld Income Tax (Final),Income Tax paid by developers u/s 7D,64310060
WPPF,WPPF,WPPF,920800
WWF,WWF,WWF,920900
152(2A)(c)/2,Withheld Income Tax (Adjustable),"Payment to Non-Resident Sports Person u/s 152(2A)(c) / Division II, Part III, 1st Schedule",64050013
236X,Withheld Income Tax (Adjustable),Advance tax on tobacco u/s 236X,64152101
236H/2024/1,Withheld Income Tax (Adjustable),Purchase by Retailers u/s 236H – Electronics (ATL @ 1% / Non-ATL @ 2%) – For Tax Year 2024,64150802
236H/2024/2,Withheld Income Tax (Adjustable),Purchase by Retailers u/s 236H - Others (ATL @ 0.5% / Non-ATL @ 1%) – For Tax Year 2024,64150803
236H/2,Withheld Income Tax (Adjustable),Purchase by Retailers u/s 236H (ATL @0.5% / Non-ATL @2.5%),64150803
5/1,Admitted Income Tax,Payment of tax on Repatriation of assets & income under section 5,92033
5/2,Admitted Income Tax,Payment of Tax Under Foreign Assets (Declaration & Repatriation) Act 2018,92034
236HA,Withheld Income Tax (Final),Tax on sale (on ex-depot sale price) of certain petroleum products u/s 236HA (ATL @ 0.5% / Non-ATL @ 1%),64151653
236Y,Withheld Income Tax (Adjustable),Tax on remitting amounts abroad through credit / debit / prepaid cards u/s 236Y,64151906
152(1AAA)/1,Withheld Income Tax (Adjustable),"Fee for Advertisement Services to a Non-Resident media person u/s 152(1AAA) / Division II, Part III, 1st Schedule (ATL @ 10% / Non-ATL @ 20%)",64050006
152(1C)/1,Withheld Income Tax (Adjustable),Fee for offshore digital services u/s 152 (1C) (ATL @ 5% / Non-ATL @ 10%),64050014
153(1)(a)/24,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) @8%,64060066
153(1)(a)/25,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) @9%,64060068
153(1)(b)/16,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @12%,64060174
153(1)(b)/17,Withheld Income Tax (Final),Payment for Services u/s 153(1)(b) @15%,64060180
153(1)(b)/18,Withheld Income Tax (Adjustable),Payment for Specified Services u/s 153(1)(b)  (ATL @ 3% / Non-ATL @ 6%),64060106
153(1)(b)/19,Withheld Income Tax (Final),Payment for Specified Services u/s 153(1)(b)  (ATL @ 3% / Non-ATL @ 6%),64060156
153(2)/1,Withheld Income Tax (Adjustable),Fee for export related services u/s 153(2) (ATL @ 1% / Non-ATL @ 2%),64060231
153(1)(c)/6,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) @14%,64060278
153(1)(c)/7,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) @15%,64060280
236Y/1,Withheld Income Tax (Adjustable),Advance tax on persons remitting amounts abroad through credit / debit / prepaid cards u/s 236Y (ATL @ 1% / Non-ATL @ 2%),64151905
214E,Misc.,Payment of tax for closure of audit u/s 214E,92035
154(3)/1,Withheld Income Tax (Final),Sale Proceeds of goods to exporter u/s 154(3),64070152
154(3B)/1,Withheld Income Tax (Final),Contract Payments to indirect exporter u/s 154(3B),64070154
236K,Withheld Income Tax (Adjustable),Purchase / Transfer of Immovable Property u/s 236K,64151101
9/3,Admitted Income Tax,Payment for Foreign Assets,92036
9/2,Admitted Income Tax,Payment for Foreign Currency Account (Domestic),92037
9/1,Admitted Income Tax,Payment for Domestic Assets / Expenditure / Sales,92038
9/4,Admitted Income Tax,Payment surcharge for Foreign Assets,92039
9/5,Admitted Income Tax,Payment surcharge for Foreign Currency Account (Domestic),92040
9/6,Admitted Income Tax,Payment surcharge for Domestic Assets / Expenditure / Sales,92041
153B/1,Withheld Income Tax (Adjustable),Payment of Royalty to Resident Persons u/s 153B (ATL @ 15% / Non-ATL @ 30%),64060232
182(A)/1,Misc.,Surcharge for ATL,920601
236D/1,Withheld Income Tax (Adjustable),"For Functions of Marriage u/s 236D (5% of the bill ad valorem or Rs. 5,000/- per wedding function, whichever is higher) – for marriage halls, Marquees, or a community place with total function area less than 500 sq. yards",64150404
236D/2,Withheld Income Tax (Adjustable),"For Functions of Marriage u/s 236D (5% of the bill ad valorem or Rs. 5,000/- per wedding function, whichever is higher) – for a multi storied premises with the largest total function area on one floor less than 500 sq. yards",64150405
153(1)(b)/20,Withheld Income Tax (Adjustable),Payment for Specified Services u/s 153(1)(b)  (ATL @ 3% / Non-ATL @ 6%),64060206
153(1)(b)/21,Withheld Income Tax (Final),Payment for Specified Services u/s 153(1)(b) (ATL @ 3% / Non-ATL @ 6%),64060056
153(1)(c)/10,Withheld Income Tax (Adjustable),Receipts from Contracts u/s 153(1)(c) (ATL @ 3% / Non-ATL @ 6%),64060206
153(1)(c)/11,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) (ATL @ 3% / Non-ATL @ 6%),64060256
153B/1,Withheld Income Tax (Adjustable),Royalty to resident person u/s 153B (ATL @ 15% / Non-ATL @ 30%),64060232
235/5,Withheld Income Tax (Final),Electricity Bill of Steal melters and composite Units,64140251
236S/1,Withheld Income Tax (Adjustable),Dividend in specie u/s 236S (ATL @ 7.5% / Non-ATL @ 15%),64151802
236D/3,Withheld Income Tax (Adjustable),"For Functions of Marriage u/s 236D (5% of the bill ad valorem or Rs. 20,000 per wedding function, whichever is higher) – for prescribed cities",64150402
236D/4,Withheld Income Tax (Adjustable),"For Functions of Marriage u/s 236D (5% of the bill ad valorem or Rs. 10,000 per wedding function, whichever is higher) – for cities other than prescribed",64150403
236F/1,Withheld Income Tax (Adjustable),"Issuance of License to IPTV, FM Radio, MMDS, Mobile TV, Mobile Audio, Satellite TV Channel and Landing Rights u/s 236F",64150603
236F/2,Withheld Income Tax (Adjustable),"Renewal of License to IPTV, FM Radio, MMDS, Mobile TV, Mobile Audio, Satellite TV Channel and Landing Rights u/s 236F",64150604
153(1)(a)/26,Withheld Income Tax (Adjustable),Payment for Goods u/s 153(1)(a) @0.25%,64060032
152(2A)(a)/5,Withheld Income Tax (Final),"Payment for Goods to a PE of a Non-Resident u/s 152(2A)(a) / Division II, Part III, 1st Schedule",64050061
152(2A)(b)/3,Withheld Income Tax (Final),"Payment for rendering or providing Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule",64050062
152(2A)(c)/6,Withheld Income Tax (Final),"Payment for Contracts to a PE of a Non-Resident u/s 152(2A)(c) / Division II, Part III, 1st Schedule (ATL @ 8% / Non-ATL @ 16%)",64050063
127(4),Misc,Prescribed Fee for filing of Appeal u/s 127(4),920602
152(2)/4,Withheld Income Tax (Final),Profit on Debt to a Non-Resident u/s 152(2)/having no PE (@ 10%),64050064
152(2A)(b)/4,Withheld Income Tax (Final),"Payment for Other Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule(11% & 22% Non-ATL) other than companies",0
152(2A)(a)/8,Withheld Income Tax (Final),"Payment for Goods to a PE of a Non-Resident u/s 152(2A)(a) / Division II, Part III, 1st Schedule (5.5% & 11% for non-ATL) other than companies",64050066
236A/2,Withheld Income Tax (Adjustable),Purchase by Auction u/s 236A in case of immovable property / train management services (Pakistan Railway) (ATL @5% and 10% for Non-ATL),64150103
150A/2,Withheld Income Tax (Final),Deduction of tax by special purpose vehicles u/s 150A@ 12.5% if Sukuk holder is an individual or AOP (if return is more than one million),64030082
150A/3,Withheld Income Tax (Final),Deduction of tax by special purpose vehicles u/s 150A@ 10% if Sukuk holder is an individual or AOP (if return is less than one million),64030083
153(1)(a)/27,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) (ATL @ 0.5% / Non-ATL @ 1%),64060051
153(1)(b)/22,Withheld Income Tax (Final),Payment for Specified Services u/s 153(1)(b) (ATL @ 3% / Non-ATL @ 6%),64060556
153(1)(a)/28,Withheld Income Tax (Final),Payment for Goods u/s 153(1)(a) @0.25%,64060082
152(1AAA)/2,Withheld Income Tax (Final),"Fee for Advertisement Services to a Non-Resident media person u/s 152(1AAA) / Division II, Part III, 1st Schedule (10%)",64050067
152(2A)(a)/6,Withheld Income Tax (Final),"Payment for Goods to a PE of a Non-Resident u/s 152(2A)(a) / Division II, Part III, 1st Schedule (5% & 10% for non-ATL) for Companies",64050068
152(2A)(b)/5,Withheld Income Tax (Final),"Payment for Specified Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule (ATL @ 3% / Non-ATL @ 8%)",64050069
152(2A)(b)/6,Withheld Income Tax (Final),"Payment for Other Services to a PE of a Non-Resident u/s 152(2A)(b) / Division II, Part III, 1st Schedule (9% & 18% non-ATL) for companies",64050070
152(2A)(c)/7,Withheld Income Tax (Final),"Payment to Non-Resident Sports Person u/s 152(2A)(c) / Division II, Part III, 1st Schedule (ATL @ 10% / Non-ATL @ 20%)",64050071
152(2)/5,Withheld Income Tax (Final),"Payment for Goods, Services, Contracts, Rent, etc. to a Non-Resident u/s 152(2) (@ 20%)",64050072
101A/1,Withheld Income Tax (Final),Payable u/s 101A @ 10%,64010041
101A/2,Withheld Income Tax (Final),Payable u/s 101A @ 20%,64010042
231B(2A)/1,Withheld Income Tax (Adjustable),Motor Vehicle Sale u/s 231B(2A),64100305
154A/1,Withheld Income Tax (Adjustable),Export of other specified Services u/s 154A,64070201
100E/1,Withheld Income Tax (Final),100E,64070301
100E/2,Withheld Income Tax (Final),100E,64070302
153(1)(b)/23,Withheld Income Tax (Final),Payment for Oil Tanker Services u/c 28F of Part II of Second Schedule u/s 153(1)(b),64062101
231B(2A)/2,Withheld Income Tax (Adjustable),Motor vehicle registration by person who has not purchased vehicle from local manufacturer u/s 231B(2A),64100306
153(1)(c)/12,Withheld Income Tax (Final),Receipts from Contracts u/s 153(1)(c) (ATL @ 6.5% / Non-ATL @ 13%),64060263
151(1A)/1,Withheld Income Tax (Final),Deduction of tax by special purpose vehicles u/s 151(1A) @ 25% if Sukuk holder is a company,64030086
151(1A)/2,Withheld Income Tax (Final),Deduction of tax by special purpose vehicles u/s 151(1A)@ 10% if Sukuk holder is an individual or AOP (if return is less than one million),64030084
151(1A)/3,Withheld Income Tax (Final),Deduction of tax by special purpose vehicles u/s 151(1A)@ 12.5% if Sukuk holder is an individual or AOP (if return is more than one million),64030085
235/6,Withheld Income Tax (Adjustable),Electricity Bill of Domestic Consumer u/s 235 (Only for Non-ATL),64140102
235/7,Withheld Income Tax (Final),Electricity Bill of Domestic Consumer u/s 235 (Only for Non-ATL),64140152
153(1)(b)/24,Withheld Income Tax (Final),Payment for Services  u/s 153(1)(b) (ATL @ 0.5% / Non-ATL @ 1%),64060151
152(4B)/1,Withheld Income Tax (Final),Payment for contracts to PE of Non-Resident u/s 152(4B) @ 1.4%,64050073
150/10,Withheld Income Tax (Adjustable),Dividend u/s 150 (ATL @ 35% / Non-ATL @ 70%),64030064
150/11,Withheld Income Tax (Adjustable),"Dividend u/s 150 (Non-Resident u/c (111A), Part IV of Second Schedule) @ 35%",64030065
231B(2A)/3,Withheld Income Tax (Adjustable),Motor vehicle registration fee u/s 231B(2A),64100307
236CA/1,Withheld Income Tax (Final),Foreign produced TV drama serial or play u/s 236CA,64150503
236CA/2,Withheld Income Tax (Final),Foreign produced TV play (single episode) u/s 236CA,64150504
236CA/3,Withheld Income Tax (Final),Advertisement starring foreign actor u/s 236CA,64150505
231B(2)/1,Withheld Income Tax (Adjustable),Motor Vehicle Transfer Fee u/s 231B(2) (Without Engine Capacity),64100308
234/18,Withheld Income Tax (Adjustable),Passenger Transport Public Vehicle Tax u/s 234 (Air Conditioned),64130004
148/5,Withheld Income Tax (Final),Import u/s 148 @3.5%,64010057
152(1DB)/1,Withheld Income Tax (Final),Payment of a return on investment in sukuks to a non-resident u/s 152(1DB) @ 10%,64050077
152(1DC)/1,Withheld Income Tax (Final),Payment of service charges or commission or fee to remittances operators u/s 152(1DC) @ 10%,64050078
